Date,Home,Away,RS,RA
thursday mar 28,OAK,LAA,4,0
friday mar 29,OAK,LAA,2,6
saturday mar 30,OAK,LAA,4,2
sunday mar 31,OAK,LAA,2,1
monday apr 1,SEA,LAA,6,3
tuesday apr 2,SEA,LAA,2,1
thursday apr 4,LAA,TEX,4,11
friday apr 5,LAA,TEX,3,1
saturday apr 6,LAA,TEX,5,1
sunday apr 7,LAA,TEX,7,2
monday apr 8,LAA,MIL,5,2
tuesday apr 9,LAA,MIL,11,8
wednesday apr 10,LAA,MIL,4,2
friday apr 12,CHC,LAA,5,1
saturday apr 13,CHC,LAA,5,6
monday apr 15,TEX,LAA,12,7
tuesday apr 16,TEX,LAA,5,0
wednesday apr 17,TEX,LAA,5,4
thursday apr 18,LAA,SEA,10,11
friday apr 19,LAA,SEA,3,5
saturday apr 20,LAA,SEA,5,6
sunday apr 21,LAA,SEA,8,6
monday apr 22,LAA,NYY,3,4
tuesday apr 23,LAA,NYY,5,7
wednesday apr 24,LAA,NYY,5,6
thursday apr 25,LAA,NYY,11,5
friday apr 26,KCR,LAA,1,5
saturday apr 27,KCR,LAA,9,4
sunday apr 28,KCR,LAA,3,7
tuesday apr 30,LAA,TOR,4,3
wednesday may 1,LAA,TOR,6,3
thursday may 2,LAA,TOR,6,2
saturday may 4,LAA,HOU,2,14
sunday may 5,LAA,HOU,4,10
tuesday may 7,DET,LAA,2,5
wednesday may 8,DET,LAA,10,3
thursday may 9,DET,LAA,0,13
friday may 10,BAL,LAA,3,8
saturday may 11,BAL,LAA,2,7
sunday may 12,BAL,LAA,5,1
monday may 13,MIN,LAA,4,5
tuesday may 14,MIN,LAA,4,3
wednesday may 15,MIN,LAA,8,7
friday may 17,LAA,KCR,5,2
saturday may 18,LAA,KCR,6,3
sunday may 19,LAA,KCR,1,5
monday may 20,LAA,MIN,1,3
tuesday may 21,LAA,MIN,3,8
thursday may 23,LAA,MIN,7,16
friday may 24,LAA,TEX,3,4
saturday may 25,LAA,TEX,3,2
sunday may 26,LAA,TEX,7,6
monday may 27,OAK,LAA,8,5
tuesday may 28,OAK,LAA,4,6
wednesday may 29,OAK,LAA,7,12
thursday may 30,SEA,LAA,3,9
friday may 31,SEA,LAA,4,3
saturday jun 1,SEA,LAA,3,6
sunday jun 2,SEA,LAA,3,13
monday jun 3,CHC,LAA,8,1
tuesday jun 4,LAA,OAK,2,4
wednesday jun 5,LAA,OAK,10,9
thursday jun 6,LAA,OAK,4,7
friday jun 7,LAA,SEA,2,6
saturday jun 8,LAA,SEA,12,3
sunday jun 9,LAA,SEA,3,9
monday jun 10,LAA,LAD,5,3
tuesday jun 11,LAA,LAD,5,3
thursday jun 13,TBR,LAA,3,5
friday jun 14,TBR,LAA,9,4
saturday jun 15,TBR,LAA,3,5
sunday jun 16,TBR,LAA,6,5
monday jun 17,TOR,LAA,5,10
tuesday jun 18,TOR,LAA,1,3
wednesday jun 19,TOR,LAA,6,11
thursday jun 20,TOR,LAA,7,5
friday jun 21,STL,LAA,5,1
saturday jun 22,STL,LAA,4,2
sunday jun 23,STL,LAA,4,6
tuesday jun 25,LAA,CIN,5,1
wednesday jun 26,LAA,CIN,5,1
thursday jun 27,LAA,OAK,8,3
friday jun 28,LAA,OAK,2,7
saturday jun 29,LAA,OAK,0,4
sunday jun 30,LAA,OAK,3,12
tuesday jul 2,TEX,LAA,4,9
wednesday jul 3,TEX,LAA,2,6
thursday jul 4,TEX,LAA,9,3
friday jul 5,HOU,LAA,4,5
saturday jul 6,HOU,LAA,4,0
sunday jul 7,HOU,LAA,11,10
friday jul 12,LAA,SEA,13,0
saturday jul 13,LAA,SEA,9,2
sunday jul 14,LAA,SEA,6,3
monday jul 15,LAA,HOU,9,6
tuesday jul 16,LAA,HOU,7,2
wednesday jul 17,LAA,HOU,2,11
thursday jul 18,LAA,HOU,2,6
friday jul 19,SEA,LAA,10,0
saturday jul 20,SEA,LAA,2,6
sunday jul 21,SEA,LAA,3,9
tuesday jul 23,LAD,LAA,4,5
wednesday jul 24,LAD,LAA,2,3
thursday jul 25,LAA,BAL,8,10
friday jul 26,LAA,BAL,3,9
saturday jul 27,LAA,BAL,7,8
sunday jul 28,LAA,BAL,5,4
monday jul 29,LAA,DET,2,7
tuesday jul 30,LAA,DET,6,1
wednesday jul 31,LAA,DET,1,9
friday aug 2,CLE,LAA,7,3
saturday aug 3,CLE,LAA,7,2
sunday aug 4,CLE,LAA,6,2
monday aug 5,CIN,LAA,7,4
tuesday aug 6,CIN,LAA,8,4
thursday aug 8,BOS,LAA,3,0
friday aug 9,BOS,LAA,16,4
saturday aug 10,BOS,LAA,4,12
sunday aug 11,BOS,LAA,4,5
monday aug 12,LAA,PIT,2,10
tuesday aug 13,LAA,PIT,7,10
wednesday aug 14,LAA,PIT,7,4
thursday aug 15,LAA,CHW,8,7
friday aug 16,LAA,CHW,2,7
saturday aug 17,LAA,CHW,6,5
sunday aug 18,LAA,CHW,9,2
monday aug 19,TEX,LAA,8,7
tuesday aug 20 (1),TEX,LAA,1,5
tuesday aug 20 (2),TEX,LAA,3,2
wednesday aug 21,TEX,LAA,8,7
friday aug 23,HOU,LAA,5,4
saturday aug 24,HOU,LAA,5,2
sunday aug 25,HOU,LAA,11,2
tuesday aug 27,LAA,TEX,5,2
wednesday aug 28,LAA,TEX,0,3
friday aug 30,LAA,BOS,6,7
saturday aug 31,LAA,BOS,10,4
sunday sep 1,LAA,BOS,3,4
tuesday sep 3,OAK,LAA,7,5
wednesday sep 4,OAK,LAA,4,0
thursday sep 5,OAK,LAA,10,6
friday sep 6,CHW,LAA,4,5
saturday sep 7,CHW,LAA,7,8
sunday sep 8,CHW,LAA,5,1
monday sep 9,LAA,CLE,2,6
tuesday sep 10,LAA,CLE,0,8
wednesday sep 11,LAA,CLE,3,4
friday sep 13,LAA,TBR,4,11
saturday sep 14,LAA,TBR,1,3
sunday sep 15,LAA,TBR,6,4
tuesday sep 17,NYY,LAA,8,0
wednesday sep 18,NYY,LAA,2,3
thursday sep 19,NYY,LAA,9,1
friday sep 20,HOU,LAA,6,4
saturday sep 21,HOU,LAA,4,8
sunday sep 22,HOU,LAA,13,5
tuesday sep 24,LAA,OAK,3,2
wednesday sep 25,LAA,OAK,2,3
thursday sep 26,LAA,HOU,4,3
friday sep 27,LAA,HOU,0,4
saturday sep 28,LAA,HOU,3,6
sunday sep 29,LAA,HOU,5,8
thursday mar 28,TBR,HOU,1,5
friday mar 29,TBR,HOU,4,2
saturday mar 30,TBR,HOU,3,1
sunday mar 31,TBR,HOU,3,1
monday apr 1,TEX,HOU,1,2
tuesday apr 2,TEX,HOU,6,4
wednesday apr 3,TEX,HOU,4,0
friday apr 5,HOU,OAK,3,2
saturday apr 6,HOU,OAK,6,0
sunday apr 7,HOU,OAK,9,8
monday apr 8,HOU,NYY,4,3
tuesday apr 9,HOU,NYY,6,3
wednesday apr 10,HOU,NYY,8,6
friday apr 12,SEA,HOU,6,10
saturday apr 13,SEA,HOU,1,3
sunday apr 14,SEA,HOU,2,3
tuesday apr 16,OAK,HOU,1,9
wednesday apr 17,OAK,HOU,2,1
friday apr 19,TEX,HOU,2,7
saturday apr 20,TEX,HOU,9,4
sunday apr 21,TEX,HOU,11,10
monday apr 22,HOU,MIN,5,9
tuesday apr 23,HOU,MIN,10,4
wednesday apr 24,HOU,MIN,7,1
thursday apr 25,HOU,CLE,1,2
friday apr 26,HOU,CLE,3,6
saturday apr 27,HOU,CLE,4,3
sunday apr 28,HOU,CLE,4,1
monday apr 29,MIN,HOU,1,0
tuesday apr 30,MIN,HOU,0,11
wednesday may 1,MIN,HOU,6,2
thursday may 2,MIN,HOU,8,2
monday may 6,HOU,KCR,6,4
tuesday may 7,HOU,KCR,2,12
wednesday may 8,HOU,KCR,9,0
thursday may 9,HOU,TEX,4,2
friday may 10,HOU,TEX,3,0
saturday may 11,HOU,TEX,11,4
sunday may 12,HOU,TEX,15,5
monday may 13,DET,HOU,1,8
tuesday may 14,DET,HOU,4,11
wednesday may 15,DET,HOU,1,5
friday may 17,BOS,HOU,1,3
saturday may 18,BOS,HOU,3,7
sunday may 19,BOS,HOU,4,3
monday may 20,HOU,CHW,3,0
tuesday may 21,HOU,CHW,5,1
wednesday may 22,HOU,CHW,4,9
thursday may 23,HOU,CHW,0,4
friday may 24,HOU,BOS,4,3
saturday may 25,HOU,BOS,4,3
sunday may 26,HOU,BOS,1,4
monday may 27,HOU,CHC,6,5
tuesday may 28,HOU,CHC,9,6
wednesday may 29,HOU,CHC,1,2
friday may 31,OAK,HOU,2,3
saturday jun 1,OAK,HOU,1,5
sunday jun 2,OAK,HOU,4,6
monday jun 3,SEA,HOU,2,4
tuesday jun 4,SEA,HOU,5,11
wednesday jun 5,SEA,HOU,14,1
thursday jun 6,SEA,HOU,7,8
friday jun 7,HOU,BAL,4,3
saturday jun 8,HOU,BAL,1,4
sunday jun 9,HOU,BAL,4,0
tuesday jun 11,HOU,MIL,10,8
wednesday jun 12,HOU,MIL,3,6
friday jun 14,HOU,TOR,15,2
saturday jun 15,HOU,TOR,7,2
sunday jun 16,HOU,TOR,0,12
monday jun 17,CIN,HOU,3,2
tuesday jun 18,CIN,HOU,4,3
wednesday jun 19,CIN,HOU,3,2
thursday jun 20,NYY,HOU,10,6
friday jun 21,NYY,HOU,4,1
saturday jun 22,NYY,HOU,7,5
sunday jun 23,NYY,HOU,4,9
tuesday jun 25,HOU,PIT,5,1
wednesday jun 26,HOU,PIT,2,14
thursday jun 27,HOU,PIT,0,10
friday jun 28,HOU,SEA,2,1
saturday jun 29,HOU,SEA,6,5
sunday jun 30,HOU,SEA,6,1
tuesday jul 2,COL,HOU,8,9
wednesday jul 3,COL,HOU,2,4
thursday jul 11,TEX,HOU,5,0
friday jul 12,TEX,HOU,9,8
saturday jul 13,TEX,HOU,6,7
sunday jul 14,TEX,HOU,4,12
friday jul 19,HOU,TEX,4,3
saturday jul 20,HOU,TEX,6,1
sunday jul 21,HOU,TEX,5,3
monday jul 22,HOU,OAK,11,1
tuesday jul 23,HOU,OAK,3,4
wednesday jul 24,HOU,OAK,4,2
friday jul 26,STL,HOU,5,3
saturday jul 27,STL,HOU,2,8
sunday jul 28,STL,HOU,2,6
tuesday jul 30,CLE,HOU,0,2
wednesday jul 31,CLE,HOU,10,4
thursday aug 1,CLE,HOU,1,7
friday aug 2,HOU,SEA,10,2
saturday aug 3,HOU,SEA,9,0
sunday aug 4,HOU,SEA,3,1
tuesday aug 6,HOU,COL,11,6
wednesday aug 7,HOU,COL,14,3
friday aug 9,BAL,HOU,2,3
saturday aug 10,BAL,HOU,2,23
sunday aug 11,BAL,HOU,8,7
tuesday aug 13 (1),CHW,HOU,2,6
tuesday aug 13 (2),CHW,HOU,4,1
wednesday aug 14,CHW,HOU,13,9
thursday aug 15,OAK,HOU,7,6
friday aug 16,OAK,HOU,3,2
saturday aug 17,OAK,HOU,8,4
sunday aug 18,OAK,HOU,1,4
monday aug 19,HOU,DET,5,4
tuesday aug 20,HOU,DET,6,3
wednesday aug 21,HOU,DET,1,2
thursday aug 22,HOU,DET,6,3
tuesday aug 27,HOU,TBR,15,1
wednesday aug 28,HOU,TBR,8,6
thursday aug 29,HOU,TBR,8,9
friday aug 30,TOR,HOU,4,7
saturday aug 31,TOR,HOU,6,4
sunday sep 1,TOR,HOU,0,2
monday sep 2,MIL,HOU,2,3
tuesday sep 3,MIL,HOU,4,2
thursday sep 5,HOU,SEA,11,9
friday sep 6,HOU,SEA,7,4
saturday sep 7,HOU,SEA,2,1
sunday sep 8,HOU,SEA,21,1
monday sep 9,HOU,OAK,15,0
tuesday sep 10,HOU,OAK,7,21
wednesday sep 11,HOU,OAK,3,5
thursday sep 12,HOU,OAK,2,3
friday sep 13,KCR,HOU,1,4
saturday sep 14,KCR,HOU,1,6
sunday sep 15,KCR,HOU,3,12
tuesday sep 17,HOU,TEX,4,1
wednesday sep 18,HOU,TEX,3,2
tuesday sep 24,SEA,HOU,0,3
wednesday sep 25,SEA,HOU,0,3
wednesday mar 20,OAK,SEA,7,9
thursday mar 21,OAK,SEA,4,5
monday apr 1,OAK,BOS,7,0
tuesday apr 2,OAK,BOS,1,0
wednesday apr 3,OAK,BOS,3,6
thursday apr 4,OAK,BOS,7,3
monday apr 8,BAL,OAK,12,4
tuesday apr 9,BAL,OAK,2,13
wednesday apr 10,BAL,OAK,3,10
thursday apr 11,BAL,OAK,5,8
friday apr 12,TEX,OAK,6,8
sunday apr 14,TEX,OAK,8,7
friday apr 19,OAK,TOR,1,5
saturday apr 20,OAK,TOR,1,10
sunday apr 21,OAK,TOR,4,5
monday apr 22,OAK,TEX,6,1
tuesday apr 23,OAK,TEX,11,5
wednesday apr 24,OAK,TEX,6,5
friday apr 26,TOR,OAK,4,2
saturday apr 27,TOR,OAK,7,1
sunday apr 28,TOR,OAK,5,4
monday apr 29,BOS,OAK,9,4
tuesday apr 30,BOS,OAK,5,1
wednesday may 1,BOS,OAK,7,3
friday may 3,PIT,OAK,1,14
saturday may 4,PIT,OAK,6,4
sunday may 5,PIT,OAK,5,3
tuesday may 7,OAK,CIN,2,0
wednesday may 8,OAK,CIN,5,4
thursday may 9,OAK,CIN,0,3
friday may 10,OAK,CLE,4,3
saturday may 11,OAK,CLE,3,2
sunday may 12,OAK,CLE,3,5
monday may 13,SEA,OAK,6,5
tuesday may 14,SEA,OAK,4,3
thursday may 16,DET,OAK,3,17
friday may 17,DET,OAK,2,7
saturday may 18,DET,OAK,1,4
sunday may 19,DET,OAK,3,7
monday may 20,CLE,OAK,4,6
tuesday may 21,CLE,OAK,3,5
wednesday may 22,CLE,OAK,2,7
friday may 24,OAK,SEA,6,2
saturday may 25,OAK,SEA,6,5
sunday may 26,OAK,SEA,7,1
friday jun 7,TEX,OAK,3,5
saturday jun 8 (1),TEX,OAK,10,5
saturday jun 8 (2),TEX,OAK,3,1
sunday jun 9,TEX,OAK,8,9
monday jun 10,TBR,OAK,6,2
tuesday jun 11,TBR,OAK,3,4
wednesday jun 12,TBR,OAK,2,6
friday jun 14,OAK,SEA,2,9
saturday jun 15,OAK,SEA,11,2
sunday jun 16,OAK,SEA,3,6
monday jun 17,OAK,BAL,3,2
tuesday jun 18,OAK,BAL,16,2
wednesday jun 19,OAK,BAL,8,3
thursday jun 20,OAK,TBR,5,4
friday jun 21,OAK,TBR,3,5
saturday jun 22,OAK,TBR,4,2
sunday jun 23,OAK,TBR,2,8
tuesday jun 25,STL,OAK,3,7
wednesday jun 26,STL,OAK,0,2
tuesday jul 2,OAK,MIN,8,6
wednesday jul 3,OAK,MIN,3,4
thursday jul 4,OAK,MIN,7,2
friday jul 5,SEA,OAK,2,5
saturday jul 6,SEA,OAK,6,3
sunday jul 7,SEA,OAK,4,7
friday jul 12,OAK,CHW,5,1
saturday jul 13,OAK,CHW,13,2
sunday jul 14,OAK,CHW,3,2
tuesday jul 16,OAK,SEA,9,2
wednesday jul 17,OAK,SEA,10,2
thursday jul 18,MIN,OAK,6,3
friday jul 19,MIN,OAK,3,5
saturday jul 20,MIN,OAK,4,5
sunday jul 21,MIN,OAK,7,6
thursday jul 25,OAK,TEX,3,11
friday jul 26,OAK,TEX,2,5
saturday jul 27,OAK,TEX,5,4
sunday jul 28,OAK,TEX,6,5
tuesday jul 30,OAK,MIL,3,2
wednesday jul 31,OAK,MIL,2,4
thursday aug 1,OAK,MIL,5,3
saturday aug 3,OAK,STL,8,3
sunday aug 4,OAK,STL,4,2
monday aug 5,CHC,OAK,6,5
tuesday aug 6,CHC,OAK,4,11
wednesday aug 7,CHC,OAK,10,1
friday aug 9,CHW,OAK,0,7
saturday aug 10,CHW,OAK,3,2
sunday aug 11,CHW,OAK,0,2
tuesday aug 13,SFG,OAK,3,2
wednesday aug 14,SFG,OAK,5,9
tuesday aug 20,OAK,NYY,6,2
wednesday aug 21,OAK,NYY,6,4
thursday aug 22,OAK,NYY,5,3
saturday aug 24,OAK,SFG,5,10
sunday aug 25,OAK,SFG,4,5
monday aug 26,KCR,OAK,4,19
tuesday aug 27,KCR,OAK,1,2
wednesday aug 28,KCR,OAK,6,4
thursday aug 29,KCR,OAK,8,9
friday aug 30,NYY,OAK,2,8
saturday aug 31,NYY,OAK,4,3
sunday sep 1,NYY,OAK,5,4
friday sep 6,OAK,DET,4,5
saturday sep 7,OAK,DET,10,2
sunday sep 8,OAK,DET,3,1
friday sep 13,TEX,OAK,9,14
saturday sep 14,TEX,OAK,6,8
sunday sep 15,TEX,OAK,1,6
monday sep 16,OAK,KCR,5,6
tuesday sep 17,OAK,KCR,2,1
wednesday sep 18,OAK,KCR,1,0
friday sep 20,OAK,TEX,8,0
saturday sep 21,OAK,TEX,12,3
sunday sep 22,OAK,TEX,3,8
thursday sep 26,SEA,OAK,1,3
friday sep 27,SEA,OAK,4,3
saturday sep 28,SEA,OAK,0,1
sunday sep 29,SEA,OAK,3,1
thursday mar 28,TOR,DET,0,2
friday mar 29,TOR,DET,6,0
saturday mar 30,TOR,DET,3,0
sunday mar 31,TOR,DET,3,4
monday apr 1,TOR,BAL,5,6
tuesday apr 2,TOR,BAL,1,2
wednesday apr 3,TOR,BAL,5,3
thursday apr 4,CLE,TOR,4,1
friday apr 5,CLE,TOR,3,2
saturday apr 6,CLE,TOR,7,2
sunday apr 7,CLE,TOR,3,1
tuesday apr 9,BOS,TOR,5,7
thursday apr 11,BOS,TOR,7,6
friday apr 12,TOR,TBR,7,11
saturday apr 13,TOR,TBR,3,1
sunday apr 14,TOR,TBR,4,8
monday apr 15,MIN,TOR,3,5
tuesday apr 16,MIN,TOR,5,6
wednesday apr 17,MIN,TOR,4,1
thursday apr 18,MIN,TOR,4,7
tuesday apr 23,TOR,SFG,6,7
wednesday apr 24,TOR,SFG,0,4
friday may 3,TEX,TOR,0,1
saturday may 4,TEX,TOR,8,5
sunday may 5,TEX,TOR,10,2
monday may 6,TOR,MIN,0,8
tuesday may 7,TOR,MIN,0,3
wednesday may 8,TOR,MIN,1,9
friday may 10,TOR,CHW,4,3
saturday may 11,TOR,CHW,2,7
sunday may 12,TOR,CHW,1,5
tuesday may 14,SFG,TOR,3,7
wednesday may 15,SFG,TOR,4,3
thursday may 16,CHW,TOR,4,2
friday may 17,CHW,TOR,2,10
saturday may 18,CHW,TOR,4,1
sunday may 19,CHW,TOR,2,5
monday may 20,TOR,BOS,2,12
tuesday may 21,TOR,BOS,10,3
wednesday may 22,TOR,BOS,5,6
thursday may 23,TOR,BOS,2,8
friday may 24,TOR,SDP,3,6
saturday may 25,TOR,SDP,4,19
sunday may 26,TOR,SDP,10,1
monday may 27,TBR,TOR,8,3
tuesday may 28,TBR,TOR,3,1
wednesday may 29,TBR,TOR,4,3
friday may 31,COL,TOR,13,6
saturday jun 1,COL,TOR,4,2
sunday jun 2,COL,TOR,5,1
tuesday jun 4,TOR,NYY,4,3
wednesday jun 5,TOR,NYY,11,7
thursday jun 6,TOR,NYY,2,6
friday jun 7,TOR,ARI,2,8
saturday jun 8,TOR,ARI,0,6
sunday jun 9,TOR,ARI,2,8
tuesday jun 11,BAL,TOR,4,2
wednesday jun 12,BAL,TOR,6,8
thursday jun 13,BAL,TOR,3,12
friday jun 21,BOS,TOR,7,5
saturday jun 22,BOS,TOR,7,8
sunday jun 23,BOS,TOR,1,6
monday jun 24,NYY,TOR,10,8
tuesday jun 25,NYY,TOR,4,3
wednesday jun 26,NYY,TOR,8,7
friday jun 28,TOR,KCR,6,2
saturday jun 29,TOR,KCR,7,5
sunday jun 30,TOR,KCR,6,7
monday jul 1,TOR,KCR,11,4
tuesday jul 2,TOR,BOS,6,10
wednesday jul 3,TOR,BOS,6,3
thursday jul 4,TOR,BOS,7,8
friday jul 5,TOR,BAL,1,4
saturday jul 6,TOR,BAL,1,8
sunday jul 7,TOR,BAL,6,1
friday jul 12,NYY,TOR,4,0
saturday jul 13,NYY,TOR,1,2
sunday jul 14,NYY,TOR,4,2
monday jul 15,BOS,TOR,10,8
tuesday jul 16,BOS,TOR,4,10
wednesday jul 17,BOS,TOR,5,4
thursday jul 18,BOS,TOR,5,0
friday jul 19,DET,TOR,1,12
saturday jul 20,DET,TOR,5,7
sunday jul 21,DET,TOR,4,3
monday jul 22,TOR,CLE,3,7
tuesday jul 23,TOR,CLE,2,1
wednesday jul 24,TOR,CLE,0,4
friday jul 26,TOR,TBR,1,3
saturday jul 27,TOR,TBR,10,9
sunday jul 28,TOR,TBR,9,10
monday jul 29,KCR,TOR,3,7
tuesday jul 30,KCR,TOR,2,9
wednesday jul 31,KCR,TOR,1,4
thursday aug 1,BAL,TOR,2,11
friday aug 2,BAL,TOR,2,5
saturday aug 3,BAL,TOR,6,4
sunday aug 4,BAL,TOR,6,5
monday aug 5,TBR,TOR,0,2
tuesday aug 6,TBR,TOR,7,6
wednesday aug 7,TBR,TOR,3,4
thursday aug 8,TOR,NYY,6,12
friday aug 9,TOR,NYY,8,2
saturday aug 10,TOR,NYY,5,4
sunday aug 11,TOR,NYY,0,1
monday aug 12,TOR,TEX,19,4
tuesday aug 13,TOR,TEX,3,0
wednesday aug 14,TOR,TEX,3,7
friday aug 16,TOR,SEA,7,3
saturday aug 17,TOR,SEA,3,4
sunday aug 18,TOR,SEA,0,7
tuesday aug 20,LAD,TOR,16,3
wednesday aug 21,LAD,TOR,2,1
thursday aug 22,LAD,TOR,3,2
friday aug 23,SEA,TOR,7,4
saturday aug 24,SEA,TOR,5,7
sunday aug 25,SEA,TOR,3,1
tuesday aug 27,TOR,ATL,3,1
wednesday aug 28,TOR,ATL,4,9
monday sep 2,ATL,TOR,6,3
tuesday sep 3,ATL,TOR,7,2
thursday sep 5,TBR,TOR,6,4
friday sep 6,TBR,TOR,5,0
saturday sep 7,TBR,TOR,5,3
sunday sep 8,TBR,TOR,8,3
tuesday sep 10,TOR,BOS,4,3
wednesday sep 11,TOR,BOS,8,0
thursday sep 12,TOR,BOS,4,7
friday sep 13,TOR,NYY,6,5
saturday sep 14,TOR,NYY,3,13
sunday sep 15,TOR,NYY,6,4
tuesday sep 17,BAL,TOR,5,8
wednesday sep 18,BAL,TOR,10,11
thursday sep 19,BAL,TOR,4,8
friday sep 20,NYY,TOR,3,4
saturday sep 21,NYY,TOR,7,2
sunday sep 22,NYY,TOR,8,3
monday sep 23,TOR,BAL,11,10
tuesday sep 24,TOR,BAL,4,11
wednesday sep 25,TOR,BAL,3,2
friday sep 27,TOR,TBR,2,6
saturday sep 28,TOR,TBR,4,1
sunday sep 29,TOR,TBR,8,3
thursday mar 28,PHI,ATL,10,4
saturday mar 30,PHI,ATL,8,6
sunday mar 31,PHI,ATL,5,1
monday apr 1,ATL,CHC,8,0
wednesday apr 3,ATL,CHC,6,4
thursday apr 4,ATL,CHC,9,4
friday apr 5,ATL,MIA,4,0
saturday apr 6,ATL,MIA,2,4
sunday apr 7,ATL,MIA,4,3
monday apr 8,COL,ATL,6,8
tuesday apr 9,COL,ATL,1,7
thursday apr 11,ATL,NYM,3,6
friday apr 12,ATL,NYM,2,6
saturday apr 13,ATL,NYM,11,7
sunday apr 14,ATL,NYM,7,3
tuesday apr 16,ATL,ARI,6,9
wednesday apr 17,ATL,ARI,2,3
thursday apr 18,ATL,ARI,1,4
saturday apr 20 (1),CLE,ATL,8,4
saturday apr 20 (2),CLE,ATL,7,8
sunday apr 21,CLE,ATL,5,11
tuesday apr 23,CIN,ATL,7,6
wednesday apr 24,CIN,ATL,1,3
thursday apr 25,CIN,ATL,4,2
friday apr 26,ATL,COL,4,8
saturday apr 27,ATL,COL,5,9
sunday apr 28,ATL,COL,8,7
monday apr 29,ATL,SDP,3,1
tuesday apr 30,ATL,SDP,3,4
wednesday may 1,ATL,SDP,5,1
thursday may 2,ATL,SDP,2,11
friday may 3,MIA,ATL,2,7
saturday may 4,MIA,ATL,2,9
sunday may 5,MIA,ATL,1,3
monday may 6,LAD,ATL,5,3
tuesday may 7,LAD,ATL,9,0
