Date,Home,Away,RS,RA
wednesday may 8,LAD,ATL,9,4
thursday may 9,ARI,ATL,3,2
friday may 10,ARI,ATL,1,2
saturday may 11,ARI,ATL,4,6
sunday may 12,ARI,ATL,3,5
tuesday may 14,ATL,STL,3,14
wednesday may 15,ATL,STL,4,0
thursday may 16,ATL,STL,10,2
friday may 17,ATL,MIL,12,8
saturday may 18,ATL,MIL,4,3
sunday may 19,ATL,MIL,2,3
monday may 20,SFG,ATL,1,4
tuesday may 21,SFG,ATL,4,3
wednesday may 22,SFG,ATL,2,9
thursday may 23,SFG,ATL,4,5
friday may 24,STL,ATL,2,5
saturday may 25,STL,ATL,6,3
sunday may 26,STL,ATL,3,4
tuesday may 28,ATL,WSN,4,5
wednesday may 29,ATL,WSN,4,14
friday may 31,ATL,DET,2,8
saturday jun 1,ATL,DET,10,5
sunday jun 2,ATL,DET,7,4
tuesday jun 4,PIT,ATL,5,12
wednesday jun 5,PIT,ATL,7,4
thursday jun 6,PIT,ATL,6,1
friday jun 7,MIA,ATL,1,7
saturday jun 8,MIA,ATL,0,1
sunday jun 9,MIA,ATL,6,7
monday jun 10,ATL,PIT,13,7
tuesday jun 11,ATL,PIT,7,5
wednesday jun 12,ATL,PIT,8,7
thursday jun 13,ATL,PIT,6,5
friday jun 14,ATL,PHI,9,8
saturday jun 15,ATL,PHI,5,6
sunday jun 16,ATL,PHI,15,1
monday jun 17,ATL,NYM,12,3
tuesday jun 18,ATL,NYM,2,10
wednesday jun 19,ATL,NYM,7,2
friday jun 21,WSN,ATL,4,3
saturday jun 22,WSN,ATL,9,13
sunday jun 23,WSN,ATL,3,4
monday jun 24,CHC,ATL,8,3
tuesday jun 25,CHC,ATL,2,3
wednesday jun 26,CHC,ATL,3,5
thursday jun 27,CHC,ATL,9,7
friday jun 28,NYM,ATL,2,6
saturday jun 29,NYM,ATL,4,5
sunday jun 30,NYM,ATL,8,5
tuesday jul 2,ATL,PHI,0,2
wednesday jul 3,ATL,PHI,9,2
thursday jul 4,ATL,PHI,12,6
friday jul 5,ATL,MIA,1,0
saturday jul 6,ATL,MIA,4,5
sunday jul 7,ATL,MIA,4,3
friday jul 12,SDP,ATL,3,5
saturday jul 13,SDP,ATL,5,7
sunday jul 14,SDP,ATL,1,4
monday jul 15,MIL,ATL,2,4
tuesday jul 16,MIL,ATL,13,1
wednesday jul 17,MIL,ATL,5,4
thursday jul 18,ATL,WSN,4,13
friday jul 19,ATL,WSN,4,3
saturday jul 20,ATL,WSN,3,5
sunday jul 21,ATL,WSN,7,1
tuesday jul 23,ATL,KCR,4,5
wednesday jul 24,ATL,KCR,0,2
friday jul 26,PHI,ATL,2,9
saturday jul 27,PHI,ATL,7,15
sunday jul 28,PHI,ATL,9,4
monday jul 29,WSN,ATL,6,3
tuesday jul 30,WSN,ATL,8,11
wednesday jul 31,WSN,ATL,4,5
thursday aug 1,ATL,CIN,4,1
friday aug 2,ATL,CIN,2,5
saturday aug 3,ATL,CIN,5,4
sunday aug 4,ATL,CIN,4,6
monday aug 5,MIN,ATL,5,3
tuesday aug 6,MIN,ATL,7,12
wednesday aug 7,MIN,ATL,7,11
thursday aug 8,MIA,ATL,9,2
friday aug 9,MIA,ATL,4,8
saturday aug 10,MIA,ATL,7,6
sunday aug 11,MIA,ATL,4,5
tuesday aug 13,ATL,NYM,5,3
wednesday aug 14,ATL,NYM,6,4
thursday aug 15,ATL,NYM,8,10
friday aug 16,ATL,LAD,3,8
saturday aug 17,ATL,LAD,4,3
sunday aug 18,ATL,LAD,5,3
tuesday aug 20,ATL,MIA,5,1
wednesday aug 21,ATL,MIA,5,0
thursday aug 22,ATL,MIA,3,2
friday aug 23,NYM,ATL,1,2
saturday aug 24,NYM,ATL,5,9
sunday aug 25,NYM,ATL,1,2
monday aug 26,COL,ATL,3,1
friday aug 30,ATL,CHW,10,7
saturday aug 31,ATL,CHW,11,5
sunday sep 1,ATL,CHW,5,3
thursday sep 5,ATL,WSN,4,2
friday sep 6,ATL,WSN,4,3
saturday sep 7,ATL,WSN,5,4
sunday sep 8,ATL,WSN,4,9
monday sep 9,PHI,ATL,2,7
tuesday sep 10,PHI,ATL,6,5
wednesday sep 11,PHI,ATL,1,3
thursday sep 12,PHI,ATL,9,5
friday sep 13,WSN,ATL,0,5
saturday sep 14,WSN,ATL,1,10
sunday sep 15,WSN,ATL,7,0
tuesday sep 17,ATL,PHI,4,5
wednesday sep 18,ATL,PHI,1,4
thursday sep 19,ATL,PHI,5,4
friday sep 20,ATL,SFG,6,0
saturday sep 21,ATL,SFG,8,1
sunday sep 22,ATL,SFG,1,4
tuesday sep 24,KCR,ATL,9,6
wednesday sep 25,KCR,ATL,2,10
friday sep 27,NYM,ATL,4,2
saturday sep 28,NYM,ATL,3,0
sunday sep 29,NYM,ATL,7,6
thursday mar 28,MIL,STL,5,4
friday mar 29,MIL,STL,5,9
saturday mar 30,MIL,STL,4,2
sunday mar 31,MIL,STL,5,4
monday apr 1,CIN,MIL,3,4
tuesday apr 2,CIN,MIL,3,4
wednesday apr 3,CIN,MIL,0,1
friday apr 5,MIL,CHC,13,10
saturday apr 6,MIL,CHC,8,14
sunday apr 7,MIL,CHC,4,2
friday apr 12,LAD,MIL,5,8
saturday apr 13,LAD,MIL,1,4
sunday apr 14,LAD,MIL,7,1
monday apr 15,MIL,STL,10,7
tuesday apr 16,MIL,STL,8,4
wednesday apr 17,MIL,STL,3,6
thursday apr 18,MIL,LAD,1,3
friday apr 19,MIL,LAD,3,5
saturday apr 20,MIL,LAD,5,0
sunday apr 21,MIL,LAD,5,6
monday apr 22,STL,MIL,13,5
tuesday apr 23,STL,MIL,4,3
wednesday apr 24,STL,MIL,5,2
friday apr 26,NYM,MIL,2,10
saturday apr 27,NYM,MIL,6,8
sunday apr 28,NYM,MIL,5,2
monday apr 29,MIL,COL,5,1
tuesday apr 30,MIL,COL,4,3
wednesday may 1,MIL,COL,4,11
thursday may 2,MIL,COL,6,11
friday may 3,MIL,NYM,3,1
saturday may 4,MIL,NYM,4,3
sunday may 5,MIL,NYM,3,2
monday may 6,MIL,WSN,5,3
tuesday may 7,MIL,WSN,6,0
wednesday may 8,MIL,WSN,7,3
friday may 10,CHC,MIL,0,7
saturday may 11,CHC,MIL,2,1
sunday may 12,CHC,MIL,4,1
monday may 13,PHI,MIL,7,4
tuesday may 14,PHI,MIL,1,6
wednesday may 15,PHI,MIL,2,5
thursday may 16,PHI,MIL,3,11
tuesday may 21,MIL,CIN,0,3
wednesday may 22,MIL,CIN,11,9
friday may 24,MIL,PHI,4,6
saturday may 25,MIL,PHI,2,7
sunday may 26,MIL,PHI,9,1
monday may 27,MIN,MIL,4,5
tuesday may 28,MIN,MIL,5,3
thursday may 30,PIT,MIL,5,11
friday may 31,PIT,MIL,9,4
saturday jun 1,PIT,MIL,10,12
sunday jun 2,PIT,MIL,2,4
tuesday jun 4,MIL,MIA,0,16
wednesday jun 5,MIL,MIA,3,8
thursday jun 6,MIL,MIA,5,1
friday jun 7,MIL,PIT,10,4
saturday jun 8,MIL,PIT,5,3
sunday jun 9,MIL,PIT,5,2
friday jun 14,SFG,MIL,5,3
saturday jun 15,SFG,MIL,8,7
sunday jun 16,SFG,MIL,3,5
monday jun 17,SDP,MIL,2,0
tuesday jun 18,SDP,MIL,4,1
wednesday jun 19,SDP,MIL,8,7
thursday jun 20,MIL,CIN,1,7
friday jun 21,MIL,CIN,7,11
saturday jun 22,MIL,CIN,6,5
sunday jun 23,MIL,CIN,7,5
tuesday jun 25,MIL,SEA,3,8
wednesday jun 26,MIL,SEA,2,4
thursday jun 27,MIL,SEA,4,2
friday jun 28,MIL,PIT,2,3
saturday jun 29,MIL,PIT,3,1
sunday jun 30,MIL,PIT,2,1
monday jul 1,CIN,MIL,6,8
tuesday jul 2,CIN,MIL,5,4
wednesday jul 3,CIN,MIL,3,0
thursday jul 4,CIN,MIL,1,0
friday jul 5,PIT,MIL,6,7
saturday jul 6,PIT,MIL,12,2
sunday jul 7,PIT,MIL,6,5
friday jul 12,MIL,SFG,7,10
saturday jul 13,MIL,SFG,5,4
sunday jul 14,MIL,SFG,3,8
thursday jul 18,ARI,MIL,1,5
friday jul 19,ARI,MIL,10,7
saturday jul 20,ARI,MIL,3,8
sunday jul 21,ARI,MIL,4,7
monday jul 22,MIL,CIN,5,6
tuesday jul 23,MIL,CIN,6,14
wednesday jul 24,MIL,CIN,5,4
friday jul 26,MIL,CHC,3,2
saturday jul 27,MIL,CHC,5,3
sunday jul 28,MIL,CHC,4,11
friday aug 2,CHC,MIL,6,2
saturday aug 3,CHC,MIL,4,1
sunday aug 4,CHC,MIL,7,2
monday aug 5,PIT,MIL,7,9
tuesday aug 6,PIT,MIL,3,4
wednesday aug 7,PIT,MIL,3,8
friday aug 9,MIL,TEX,6,5
saturday aug 10,MIL,TEX,3,2
sunday aug 11,MIL,TEX,0,1
tuesday aug 13,MIL,MIN,5,7
wednesday aug 14,MIL,MIN,6,5
friday aug 16,WSN,MIL,2,1
saturday aug 17,WSN,MIL,14,15
sunday aug 18,WSN,MIL,16,8
monday aug 19,STL,MIL,3,0
tuesday aug 20,STL,MIL,9,4
wednesday aug 21,STL,MIL,3,5
friday aug 23,MIL,ARI,6,1
saturday aug 24,MIL,ARI,4,0
sunday aug 25,MIL,ARI,2,5
monday aug 26,MIL,STL,2,12
tuesday aug 27,MIL,STL,3,6
wednesday aug 28,MIL,STL,4,1
friday aug 30,CHC,MIL,7,1
saturday aug 31,CHC,MIL,0,2
sunday sep 1,CHC,MIL,0,4
thursday sep 5,MIL,CHC,5,10
friday sep 6,MIL,CHC,7,1
saturday sep 7,MIL,CHC,3,2
sunday sep 8,MIL,CHC,8,5
monday sep 9,MIA,MIL,3,8
tuesday sep 10,MIA,MIL,3,4
wednesday sep 11,MIA,MIL,5,7
thursday sep 12,MIA,MIL,2,3
friday sep 13,STL,MIL,10,0
saturday sep 14,STL,MIL,2,5
sunday sep 15,STL,MIL,6,7
monday sep 16,MIL,SDP,5,1
tuesday sep 17,MIL,SDP,3,1
wednesday sep 18,MIL,SDP,1,2
thursday sep 19,MIL,SDP,5,1
friday sep 20,MIL,PIT,10,1
saturday sep 21,MIL,PIT,10,1
sunday sep 22,MIL,PIT,4,3
tuesday sep 24,CIN,MIL,2,4
wednesday sep 25,CIN,MIL,2,9
thursday sep 26,CIN,MIL,3,5
friday sep 27,COL,MIL,11,7
saturday sep 28,COL,MIL,3,2
sunday sep 29,COL,MIL,4,3
monday apr 1,PIT,STL,5,6
wednesday apr 3,PIT,STL,4,5
friday apr 5,STL,SDP,3,5
saturday apr 6,STL,SDP,4,6
sunday apr 7,STL,SDP,4,1
monday apr 8,STL,LAD,4,3
tuesday apr 9,STL,LAD,4,0
wednesday apr 10,STL,LAD,7,2
thursday apr 11,STL,LAD,11,7
saturday apr 13,CIN,STL,5,2
sunday apr 14,CIN,STL,5,9
friday apr 19,STL,NYM,4,5
saturday apr 20,STL,NYM,10,2
sunday apr 21,STL,NYM,6,4
friday apr 26,STL,CIN,1,12
saturday apr 27,STL,CIN,6,3
sunday apr 28,STL,CIN,5,2
monday apr 29,WSN,STL,3,6
tuesday apr 30,WSN,STL,2,3
wednesday may 1,WSN,STL,1,5
thursday may 2,WSN,STL,2,1
friday may 3,CHC,STL,4,0
saturday may 4,CHC,STL,6,5
sunday may 5,CHC,STL,13,5
monday may 6,STL,PHI,6,0
tuesday may 7,STL,PHI,1,11
wednesday may 8,STL,PHI,0,5
thursday may 9,STL,PIT,17,4
friday may 10,STL,PIT,1,2
saturday may 11,STL,PIT,1,2
sunday may 12,STL,PIT,6,10
friday may 17,TEX,STL,7,3
saturday may 18,TEX,STL,2,8
sunday may 19,TEX,STL,5,4
wednesday may 22 (1),STL,KCR,2,8
wednesday may 22 (2),STL,KCR,10,3
tuesday may 28,PHI,STL,4,3
wednesday may 29,PHI,STL,11,4
thursday may 30,PHI,STL,3,5
friday may 31,STL,CHC,2,1
saturday jun 1,STL,CHC,7,4
sunday jun 2,STL,CHC,2,1
tuesday jun 4,STL,CIN,1,4
thursday jun 6,STL,CIN,3,1
friday jun 7,CHC,STL,3,1
saturday jun 8,CHC,STL,9,4
sunday jun 9,CHC,STL,5,1
monday jun 10,MIA,STL,1,4
tuesday jun 11,MIA,STL,1,7
wednesday jun 12,MIA,STL,9,0
thursday jun 13,NYM,STL,4,5
friday jun 14,NYM,STL,5,9
saturday jun 15,NYM,STL,8,7
sunday jun 16,NYM,STL,3,4
monday jun 17,STL,MIA,5,0
tuesday jun 18,STL,MIA,0,6
wednesday jun 19,STL,MIA,2,1
thursday jun 20,STL,MIA,6,7
friday jun 28,SDP,STL,3,1
saturday jun 29,SDP,STL,12,2
sunday jun 30,SDP,STL,3,5
tuesday jul 2,SEA,STL,5,4
wednesday jul 3,SEA,STL,2,5
thursday jul 4,SEA,STL,4,5
friday jul 5,SFG,STL,4,9
saturday jul 6,SFG,STL,8,4
sunday jul 7,SFG,STL,1,0
friday jul 12,STL,ARI,2,4
saturday jul 13,STL,ARI,4,2
sunday jul 14,STL,ARI,5,2
monday jul 15,STL,PIT,7,0
tuesday jul 16,STL,PIT,1,3
wednesday jul 17,STL,PIT,6,5
thursday jul 18,CIN,STL,4,7
friday jul 19,CIN,STL,11,12
saturday jul 20,CIN,STL,3,2
sunday jul 21,CIN,STL,1,3
monday jul 22,PIT,STL,5,6
tuesday jul 23,PIT,STL,3,4
wednesday jul 24,PIT,STL,8,14
thursday jul 25,PIT,STL,3,6
tuesday jul 30,STL,CHC,2,1
wednesday jul 31,STL,CHC,0,2
thursday aug 1,STL,CHC,8,0
monday aug 5,LAD,STL,8,0
tuesday aug 6,LAD,STL,3,1
wednesday aug 7,LAD,STL,2,1
friday aug 9,STL,PIT,6,2
saturday aug 10,STL,PIT,3,1
sunday aug 11,STL,PIT,11,9
tuesday aug 13,KCR,STL,0,2
wednesday aug 14,KCR,STL,0,6
thursday aug 15,CIN,STL,2,1
friday aug 16,CIN,STL,4,13
saturday aug 17,CIN,STL,6,1
sunday aug 18,CIN,STL,4,5
thursday aug 22,STL,COL,6,5
friday aug 23,STL,COL,8,3
saturday aug 24,STL,COL,6,0
sunday aug 25,STL,COL,11,4
saturday aug 31 (1),STL,CIN,10,6
saturday aug 31 (2),STL,CIN,3,2
sunday sep 1 (1),STL,CIN,4,3
sunday sep 1 (2),STL,CIN,3,5
monday sep 2,STL,SFG,3,1
tuesday sep 3,STL,SFG,1,0
wednesday sep 4,STL,SFG,8,9
thursday sep 5,STL,SFG,10,0
friday sep 6,PIT,STL,9,4
saturday sep 7,PIT,STL,1,10
sunday sep 8,PIT,STL,0,2
tuesday sep 10,COL,STL,2,1
wednesday sep 11,COL,STL,2,1
thursday sep 12,COL,STL,3,10
monday sep 16,STL,WSN,4,2
tuesday sep 17,STL,WSN,2,6
wednesday sep 18,STL,WSN,5,1
thursday sep 19,CHC,STL,4,5
friday sep 20,CHC,STL,1,2
saturday sep 21,CHC,STL,8,9
sunday sep 22,CHC,STL,2,3
monday sep 23,ARI,STL,7,9
tuesday sep 24,ARI,STL,3,2
wednesday sep 25,ARI,STL,9,7
friday sep 27,STL,CHC,2,8
saturday sep 28,STL,CHC,6,8
sunday sep 29,STL,CHC,9,0
thursday mar 28,TEX,CHC,4,12
saturday mar 30,TEX,CHC,8,6
sunday mar 31,TEX,CHC,11,10
monday apr 8,CHC,PIT,10,0
wednesday apr 10,CHC,PIT,2,5
thursday apr 11,CHC,PIT,2,0
monday apr 15,MIA,CHC,2,7
tuesday apr 16,MIA,CHC,0,4
wednesday apr 17,MIA,CHC,0,6
friday apr 19,CHC,ARI,5,1
saturday apr 20,CHC,ARI,0,6
sunday apr 21,CHC,ARI,2,1
tuesday apr 23,CHC,LAD,7,2
wednesday apr 24,CHC,LAD,7,6
thursday apr 25,CHC,LAD,1,2
friday apr 26,ARI,CHC,8,3
saturday apr 27,ARI,CHC,1,9
sunday apr 28,ARI,CHC,5,6
tuesday apr 30,SEA,CHC,5,6
wednesday may 1,SEA,CHC,0,11
monday may 6,CHC,MIA,5,6
tuesday may 7,CHC,MIA,5,2
wednesday may 8,CHC,MIA,3,2
thursday may 9,CHC,MIA,4,1
tuesday may 14,CIN,CHC,1,3
wednesday may 15,CIN,CHC,6,5
thursday may 16,CIN,CHC,4,2
friday may 17,WSN,CHC,6,14
saturday may 18,WSN,CHC,5,2
sunday may 19,WSN,CHC,5,6
monday may 20,CHC,PHI,4,5
tuesday may 21,CHC,PHI,3,2
wednesday may 22,CHC,PHI,8,4
thursday may 23,CHC,PHI,7,9
friday may 24,CHC,CIN,5,6
saturday may 25,CHC,CIN,8,6
sunday may 26,CHC,CIN,2,10
tuesday jun 4,CHC,COL,6,3
wednesday jun 5,CHC,COL,9,8
thursday jun 6,CHC,COL,1,3
monday jun 10,COL,CHC,6,5
tuesday jun 11,COL,CHC,10,3
wednesday jun 12,COL,CHC,1,10
thursday jun 13,LAD,CHC,7,3
friday jun 14,LAD,CHC,5,3
saturday jun 15,LAD,CHC,1,2
sunday jun 16,LAD,CHC,3,2
tuesday jun 18,CHC,CHW,1,3
wednesday jun 19,CHC,CHW,7,3
thursday jun 20,CHC,NYM,7,4
friday jun 21,CHC,NYM,4,5
saturday jun 22,CHC,NYM,2,10
sunday jun 23,CHC,NYM,5,3
friday jun 28,CIN,CHC,6,3
saturday jun 29,CIN,CHC,0,6
sunday jun 30,CIN,CHC,8,6
monday jul 1,PIT,CHC,18,5
tuesday jul 2,PIT,CHC,5,1
wednesday jul 3,PIT,CHC,6,5
thursday jul 4,PIT,CHC,3,11
saturday jul 6,CHW,CHC,3,6
sunday jul 7,CHW,CHC,3,1
friday jul 12,CHC,PIT,4,3
saturday jul 13,CHC,PIT,10,4
sunday jul 14,CHC,PIT,8,3
monday jul 15,CHC,CIN,3,6
tuesday jul 16,CHC,CIN,4,3
wednesday jul 17,CHC,CIN,5,2
friday jul 19,CHC,SDP,6,5
saturday jul 20,CHC,SDP,6,5
sunday jul 21,CHC,SDP,1,5
monday jul 22,SFG,CHC,5,4
tuesday jul 23,SFG,CHC,5,4
wednesday jul 24,SFG,CHC,1,4
thursday aug 8,CIN,CHC,5,12
friday aug 9,CIN,CHC,5,2
saturday aug 10,CIN,CHC,10,1
sunday aug 11,CIN,CHC,3,6
tuesday aug 13,PHI,CHC,4,2
wednesday aug 14,PHI,CHC,11,1
thursday aug 15,PHI,CHC,7,5
friday aug 16,PIT,CHC,3,2
saturday aug 17,PIT,CHC,0,2
sunday aug 18,PIT,CHC,1,7
tuesday aug 20,CHC,SFG,5,3
wednesday aug 21,CHC,SFG,12,11
thursday aug 22,CHC,SFG,1,0
friday aug 23,CHC,WSN,3,9
saturday aug 24,CHC,WSN,2,7
sunday aug 25,CHC,WSN,5,7
tuesday aug 27,NYM,CHC,2,5
wednesday aug 28,NYM,CHC,7,10
thursday aug 29,NYM,CHC,1,4
monday sep 2,CHC,SEA,5,1
tuesday sep 3,CHC,SEA,6,1
monday sep 9,SDP,CHC,2,10
tuesday sep 10,SDP,CHC,9,8
wednesday sep 11,SDP,CHC,4,0
thursday sep 12,SDP,CHC,1,4
friday sep 13,CHC,PIT,17,8
saturday sep 14,CHC,PIT,14,1
sunday sep 15,CHC,PIT,16,6
monday sep 16,CHC,CIN,8,2
tuesday sep 17,CHC,CIN,2,4
wednesday sep 18,CHC,CIN,2,3
tuesday sep 24,PIT,CHC,9,2
wednesday sep 25,PIT,CHC,4,2
thursday sep 26,PIT,CHC,9,5
thursday mar 28,LAD,ARI,12,5
friday mar 29,LAD,ARI,4,5
saturday mar 30,LAD,ARI,18,5
sunday mar 31,LAD,ARI,8,7
monday apr 1,SDP,ARI,3,10
tuesday apr 2,SDP,ARI,5,8
wednesday apr 3,SDP,ARI,4,1
friday apr 5,ARI,BOS,15,8
saturday apr 6,ARI,BOS,5,4
sunday apr 7,ARI,BOS,0,1
tuesday apr 9,ARI,TEX,5,4
wednesday apr 10,ARI,TEX,2,5
thursday apr 11,ARI,SDP,6,7
friday apr 12,ARI,SDP,1,2
saturday apr 13,ARI,SDP,4,5
sunday apr 14,ARI,SDP,8,4
monday apr 22,PIT,ARI,4,12
tuesday apr 23,PIT,ARI,1,2
wednesday apr 24,PIT,ARI,2,11
thursday apr 25,PIT,ARI,0,5
tuesday apr 30,ARI,NYY,3,1
wednesday may 1,ARI,NYY,3,2
friday may 3,COL,ARI,9,10
saturday may 4,COL,ARI,2,9
sunday may 5,COL,ARI,8,7
monday may 6,TBR,ARI,12,1
tuesday may 7,TBR,ARI,6,3
wednesday may 8,TBR,ARI,2,3
monday may 13,ARI,PIT,9,3
tuesday may 14,ARI,PIT,2,6
wednesday may 15,ARI,PIT,11,1
friday may 17,ARI,SFG,7,0
saturday may 18,ARI,SFG,5,8
sunday may 19,ARI,SFG,2,3
monday may 20,SDP,ARI,2,1
tuesday may 21,SDP,ARI,3,2
wednesday may 22,SDP,ARI,5,2
friday may 24,SFG,ARI,2,18
saturday may 25,SFG,ARI,4,10
sunday may 26,SFG,ARI,2,6
monday may 27,COL,ARI,4,3
tuesday may 28,COL,ARI,6,2
wednesday may 29,COL,ARI,5,4
thursday may 30,COL,ARI,11,10
friday may 31,ARI,NYM,4,5
saturday jun 1,ARI,NYM,6,5
sunday jun 2,ARI,NYM,7,1
monday jun 3,ARI,LAD,1,3
tuesday jun 4,ARI,LAD,0,9
wednesday jun 5,ARI,LAD,3,2
monday jun 10,PHI,ARI,8,13
tuesday jun 11,PHI,ARI,7,4
wednesday jun 12,PHI,ARI,0,2
thursday jun 13,WSN,ARI,0,5
friday jun 14,WSN,ARI,7,3
saturday jun 15,WSN,ARI,3,10
sunday jun 16,WSN,ARI,15,5
tuesday jun 18,ARI,COL,1,8
wednesday jun 19,ARI,COL,4,6
thursday jun 20,ARI,COL,4,6
friday jun 21,ARI,SFG,5,11
saturday jun 22,ARI,SFG,4,7
sunday jun 23,ARI,SFG,3,2
monday jun 24,ARI,LAD,8,5
tuesday jun 25,ARI,LAD,2,3
wednesday jun 26,ARI,LAD,8,2
thursday jun 27,SFG,ARI,1,5
friday jun 28,SFG,ARI,6,3
saturday jun 29,SFG,ARI,3,4
sunday jun 30,SFG,ARI,10,4
tuesday jul 2,LAD,ARI,5,4
wednesday jul 3,LAD,ARI,5,4
friday jul 5,ARI,COL,8,0
saturday jul 6,ARI,COL,4,2
sunday jul 7,ARI,COL,5,3
tuesday jul 16,TEX,ARI,2,9
wednesday jul 17,TEX,ARI,4,19
monday jul 22,ARI,BAL,6,3
tuesday jul 23,ARI,BAL,2,7
wednesday jul 24,ARI,BAL,5,2
friday jul 26,MIA,ARI,3,2
saturday jul 27,MIA,ARI,2,9
sunday jul 28,MIA,ARI,5,1
monday jul 29,MIA,ARI,11,6
tuesday jul 30,NYY,ARI,2,4
wednesday jul 31,NYY,ARI,7,5
friday aug 2,ARI,WSN,0,3
saturday aug 3,ARI,WSN,18,7
sunday aug 4,ARI,WSN,7,5
monday aug 5,ARI,PHI,3,7
tuesday aug 6,ARI,PHI,8,4
wednesday aug 7,ARI,PHI,6,1
friday aug 9,LAD,ARI,2,3
saturday aug 10,LAD,ARI,4,0
sunday aug 11,LAD,ARI,9,3
monday aug 12,COL,ARI,6,8
tuesday aug 13,COL,ARI,3,9
wednesday aug 14,COL,ARI,7,6
thursday aug 15,ARI,SFG,0,7
friday aug 16,ARI,SFG,9,10
saturday aug 17,ARI,SFG,6,11
sunday aug 18,ARI,SFG,6,1
monday aug 19,ARI,COL,5,3
tuesday aug 20,ARI,COL,8,7
wednesday aug 21,ARI,COL,2,7
